country,variety,points,price,title,taster_name,description,year
US,Cabernet Sauvignon,90,42,Sineann 2005 Baby Poux Vineyard Cabernet Sauvignon (Columbia Valley (WA)),Paul Gregutt,"If anyone can perfectly evoke the ripe style of California Cabernet along with the structure of Washington state fruit, it's Peter Rosback of Sineann – conveniently located in Oregon. Why this iconoclastic winemaker does not just move to Washington is hard to figure; he obviously loves the grapes and knows exactly what to do with them. This Cabernet Sauvignon, from a relatively young block at the Champoux vineyard, has some heat and chewy tannins. But it should age well, and the tightly wound herb and tobacco and stone flavors that are now constrained will ultimately come out.",2005
Italy,Nebbiolo,93,90,Rivetti Massimo 2012 Serraboella  (Barbaresco),Kerin O’Keefe,"Ripe dark berry, sweet cake spice and pipe tobacco are just some of the aromas you'll find on this stunning wine. The palate shows structure and finesse, doling out black cherry, raspberry, black pepper, clove and anise alongside firm, velvety tannins and bright acidity.",2012
Italy,Nebbiolo,86,40,Arbéta 2012 Basarin  (Barbaresco),Kerin O’Keefe,"After a few swirls of the glass, you'll find subdued aromas recalling porcini mushroom, forest floor, camphor and a whiff of cellar floor. The lean palate offers raw sour cherry, espresso and a hint of coconut alongside raspy tannins that grip the mouth-drying finish.",2012
Australia,Shiraz-Grenache,91,20,D'Arenberg 2013 d'Arry's Original Shiraz-Grenache (McLaren Vale),Joe Czerwinski,"This 50-50 blend is firm, focused and rich, offering attractive aromas of mint, vanilla, cedar and red-skinned plums. Flavors turn darker, suggesting espresso and chocolate, but enlivened by bright acids. A wine worth holding a few years, priced at $20? Buy now, drink after 2020.",2013
France,Bordeaux-style Red Blend,89,NA,Château Mouton Rothschild 2010 Le Petit Mouton  (Pauillac),Roger Voss,"This is a soft wine, dense and ripe. Any tannins are covered by sweet blackberry fruit flavors. This has attractive spice, final juiciness and bright acidity. A wine for early drinking.",2010
US,Cabernet Sauvignon,88,28,Chatter Creek 2006 Cabernet Sauvignon (Columbia Valley (WA)),Paul Gregutt,"This is drinking very well; there's a little Merlot and Petit Verdot too in the blend. It's plummy and open, a little loose-knit in the core but soft and approachable. Wrapped into the tart fruit are streaks of licorice and tar, with light loamy tannins.",2006
US,Cabernet Sauvignon,89,70,Caymus 1998 Cabernet Sauvignon (Napa Valley),NA,Creamy black cherry aromas layered with fresh brussel sprouts and spicy arugula flavors of red plums and toasted oak.,1998
Argentina,Sémillon,80,15,Ricardo Santos 2009 Sémillon (Mendoza),Michael Schachner,"Heavily vegetal and unclean on the nose, then pickled on the palate, as in sauerkraut. The only thing saving this from the flusher is decent body weight and mouthfeel.",2009
Italy,Cabernet Sauvignon,91,45,Castellare di Castellina 2005 Coniale Cabernet Sauvignon (Toscana),NA,"Sweet oak notes are followed by cherry, chocolate and vanilla. This is a rich Cabernet Sauvignon with a modern and very pleasurable approach that puts emphasis on power, softness and intensity. Vibrant cherry flavors last many long minutes on the palate.",2005
US,Sauvignon Blanc,86,13,Layer Cake 2015 Sauvignon Blanc (California),Jim Gordon,"An herbal, earthy aroma is followed by crisp fruit flavors in this medium-bodied wine. It's tart and tangy on the palate, those leafy, green notes persisting through the finish.",2015
Italy,Nebbiolo,88,50,Aurelio Settimo 2013 Rocche dell'Annunziata  (Barolo),Kerin O’Keefe,"You'll find earthy aromas of used leather, game and a slight whiff of barnyard on this soulful red. The funky aromas follow over to the palate along with fleshy black cherry, raspberry, cinnamon and a note of salted game. The rounded tannins are rather forward for such a young Barolo. Drink 2019–2025.",2013
France,Chardonnay,90,33,Domaine Guillemot-Michel 2008 Quintaine  (Mâcon-Villages),Roger Voss,"This 16–acre estate is run biodynamically, producing intensely flavored, honeyed, ripe wines. This is succulent from ripe fruit, with the acidity bright and vivid, finishing with sweet pineapple and apricot flavors.",2008
France,Bordeaux-style Red Blend,92,NA,Château de Pez 2010 Barrel sample  (Saint-Estèphe),Roger Voss,"91-93 Powerfully tannic wine, the dryness balanced with sumptuous fruit. The wine shows balance, although the tannins are a major element.",2010
Hungary,Irsai Oliver,87,13,Szoke Matyás 2011 Irsai Oliver (Mátra),Anna Lee C. Iijima,"Intense notes of white flower and lemon peel perfume this lovely aromatic white. Dry on the palate, with tart tangerine and lime flavors, it is marked by hints of blossom and zesty lime pith. Crisp and tonic on the finish. Drink now.",2011
US,Cabernet Franc,89,65,St. Supéry 2013 Estate Cabernet Franc (Rutherford),Virginie Boone,"Cedar dust, dried herb, currant and graphite combine effortlessly in this restrained wine, subtle in buried tannin. It shows voluptuous body with moderate acidity and a ripeness on the finish.",2013
US,Merlot,90,20,Maddalena 2010 Merlot (Paso Robles),Matt Kettmann,"This very fairly priced wine from the fourth-generation winemaking family behind San Antonio Winery delivers aromas of black cherry-crusted charred meats with significant mint character. It's dense on the palate and quite tannic, but quite nice with blackberry paste, licorice and tanned leather flavors.",2010
US,Roussanne,88,23,Forgeron 2008 Roussanne (Columbia Valley (WA)),Paul Gregutt,"This is a firm, tart and tangy white wine with gooseberry, white peach and some green papaya all reflecting a rather cool, high-acid vintage. Refreshing and crisply structured, it's quite suitable for mellow cheeses and seafoods.",2008
Chile,Carmenère-Cabernet Sauvignon,83,NA,TerraNoble 2006 Lahuen Carmenère-Cabernet Sauvignon (Maule Valley),Michael Schachner,"Fairly hot and aggressive, with salinic, green aromas along with peppery fruit and coffee. The palate is kind of sharp and underwhelming, with green-infused plum and berry flavors. And the tomato leaf element on the finish leaves you wondering about ripeness. A mix of Carmenère and Cabernet Sauvignon.",2006
US,Pinot Noir,90,55,Fess Parker 2013 Older Barrels Pinot Noir (Sta. Rita Hills),Matt Kettmann,"Dark strawberry fruit meets with rustic earthy aromas and light allspice notes on the nose of this wine from the late actor's family-owned winery. The palate shows boisterous and tart cranberry and black raspberry fruit, with pencil lead minerality and great energy, if not a ton of complexity.",2013
US,Riesling,87,24,Lamoreaux Landing 2015 Red Oak Vineyard Riesling (Finger Lakes),Anna Lee C. Iijima,Pristine lime zest and lemon notes add lift to rounded apple and nectarine flavors on the palate of this full-bodied richly textured Riesling. There's a weightiness on the midpalate but the finish is refreshing and crisp.,2015
France,Bordeaux-style Red Blend,93,NA,Château Brane-Cantenac 2010 Barrel sample  (Margaux),Roger Voss,"92-94 New, polished wood aromas lead to a wine that has a smooth balance between toast, sweet fruits and a velvet-textured acidity. Delicious.",2010
France,Bordeaux-style Red Blend,89,NA,Château Siran 2012  Margaux,Roger Voss,"From the southern reaches of Margaux, this is already a velvet-textured wine with delicious black currant fruits and a touch of wood that is still showing. It will mature quickly and enjoyably, so drink from 2017.",2012
France,Gewürztraminer,87,19,Dopff & Irion 2009 Gewürztraminer (Alsace),Roger Voss,"For a Gewürz, this is restrained, a soft, open and attractively easy wine, lightly hinting at lychee and pear juice. Drink now.",2009
US,Red Blend,88,24,Serenity 2012 Mirth Red (Finger Lakes),Anna Lee C. Iijima,"Equal proportions of Cabernet Franc and Merlot yield this penetrating sour-cherry palate touched with nuts, smoke, bramble and herb. It's refreshingly light bodied, marked by a crush of cranberry acidity and finely grained tannins.",2012
US,Riesling,89,14,Willamette Valley Vineyards 2014 Riesling (Willamette Valley),Paul Gregutt,"This is a medium-sweet Riesling boasting Spätlese-level alcohol, that mixes soft fruit flavors of apple, peach and pear with hints of honey and tea. Give it a light chill before sipping.",2014
US,Pinot Noir,88,28,Elk Cove 1998 Windhill Pinot Noir (Willamette Valley),Michael Schachner,"Smells like a briar patch under summer sun, with accents of leather and tomato. The pungent aromatics fade into a weighty mouthfeel. It’s all red berries, and it’s tight and young. Shows fine structure and a pure quality. A very likable wine.",1998
US,Gewürztraminer,88,14,Tsillan 2013 Estate Gewürztraminer (Lake Chelan),Sean P. Sullivan,"The Lake Chelan appellation shows promise for white wines and this is just another example. It brings notes of rose water, spice and mandarin orange, drinking off dry, with a zip of acidity. Pair it with a spicy Thai dish.",2013
Chile,Chardonnay,83,12,Chilcas 2013 Reserva Chardonnay (Colchagua Valley),Michael Schachner,"Blatant aromas of popcorn don't allow for much fruit expression on the nose. This is heavy and lacking in vitality. Flavors of toast, burnt wood, barrel resin and tropical fruits finish soft.",2013
Italy,Sangiovese,92,55,Castello Romitorio 1997  Brunello di Montalcino,Roger Voss,"Sandro Chia's winery is known not only for its reliable and enjoyable wines, but also for the art series labels—work from his New York and Montalcino studios—for each vintage. In 1997, the estate has produced an intense wine, skillfully managing the sweet wood and rich, dark and concentrated fruit. The wine will age well—coming to maturity in 10 years or more—but will surely be drinkable in five.",1997
US,Grenache,94,36,Nelle 2014 Grenache (California),Matt Kettmann,"Intriguing layers of fruit and herbs interplay on the delicious nose of this bottling, showing bay leaf, thyme, oregano, pepper, hibiscus and cherry. The palate is rich and savory, with more of the same roasting herbs as well as fig, black olive, black pepper, fennel and purple-flower flavors. It's quite rich and delicious.",2014
France,Pinot Noir,87,20,Domaines Tatin 2014 Les Demoiselles Tatin Pinot Noir (Reuilly),Roger Voss,"Smooth and soft, this has light, fresh red-berry fruits laced with acidity and perfumed by red cherries. The structure is gentle and with the bright fruits, this succulent wine is ready to drink.",2014
South Africa,Pinotage,86,10,Golden Kaan 2006 Pinotage (Western Cape),Susan Kostrzewa,"Savory cherry, raspberry and plum aromas in this approachable Pinotage lead into spicy, savory flavors of cherry, plum and smoke. It's an accessible version of a variety that can be tough for some to embrace. Pair with pork or spicy dishes.",2006
France,Sauvignon Blanc,84,16,Simonnet-Febvre 2012  Saint-Bris,Roger Voss,"A soft, fruity wine, this features attractive citrus and peach flavors. It's light and fresh with a crisp, bright aftertaste. Saint-Bris is the only appellation in Burgundy to produce Sauvignon Blanc.",2012
US,Petite Sirah,91,25,Chacewater 2013 Petite Sirah (Lake County),Jim Gordon,"This is a full-bore, concentrated and tannic wine that lives up to the reputation of a not exactly “petite” varietal. It starts with smoky black pepper aromas, then offers concentrated blackberry, dark chocolate and charred meat flavors, along with a rich wrapping of fine-grained tannins. Best after 2020.",2013
France,Bordeaux-style Red Blend,93,50,Château Canon la Gaffelière 2000  Saint-Émilion,Roger Voss,"This is the flagship wine from the mini-empire (now comprising five properties) that is controlled by Comte Stephan von Niepperg. He has made a modern, wood dominated wine, with rich, concentrated black fruits. It is powerful, perhaps too powerful, lacking a sense of the usual grace of this estate, although the ripeness of the wine does compensate.",2000
US,Rhône-style Red Blend,89,35,DaMa 2011 Damnation Lonesome Springs Vineyard Red (Washington),Sean P. Sullivan,"Despite its Washington-designated label, this blend of 45% Grenache, 40% Syrah and 15% Mourvèdre all comes from Lonesome Springs Vineyard in the Yakima Valley. The aromas of coffee, cherry, red apple and peppery spices are generous, while the palate is full and creamy in feel, with the texture providing much of the appeal.",2011
US,Tempranillo,87,28,McCay Cellars 2013 Lot 13 Vineyard Tempranillo (Lodi),Jim Gordon,"Attractive white-pepper aromas and powerful dark-fruit flavors combine with firm tannins in this full-bodied wine. It is bold and a bit rustic, and should pair well with a juicy hamburger or rich lasagna.",2013
Italy,Montepulciano,86,15,Ciavolich Giuseppe 2011 Ancilla  (Montepulciano d'Abruzzo),NA,Ancilla is a rustic and raw expression of Montepulciano with a point of dried apple skin followed by bright cherry and raspberry. The mouthfeel is thick and chewy with bright acidity on the close.,2011
US,Pinot Grigio,85,10,Francis Ford Coppola 2007 Presents Bianco Pinot Grigio (California),NA,"Everybody needs a dry, tart white wine and Coppola has provided us with one in this crisply citric bottling. It's fresh and uplifting in grapefruit, lime and spicy flavors, at a good price.",2007
US,Red Blend,90,50,Château Élan 2013 Les Petits Red (America),Jim Gordon,"This dark, potent, full-bodied wine is made from two of the darkest, most tannic grape varieties—Petit Verdot and Petite Syrah—and there is nothing petite about this blend. Its color is almost black and opaque, while aromas and flavors suggest smoke, blueberry and espresso. The texture is tannic but not overbearing.",2013
Italy,Sangiovese Grosso,86,NA,Geografico Castello Tricerchi 2008  Rosso di Montalcino,NA,"Light and luminous in appearance, this bright Rosso di Montalcino delivers subdued aromas of raspberry, cherry, cola and wet earth. None of these aromas are particularly intense, but they are balanced.",2008
France,Red Blend,92,38,Clos Venturi 2015 Red (Corse),Roger Voss,"This impressive, ripe wine from the Venturi estate has fine, juicy black fruit flavors balanced by acidity and underlying firm tannins. Its concentrated berry flavors are complemented by wood aging, which adds mint flavors as well as toast. Age this wine further and drink from 2019.",2015
US,Chardonnay,92,50,Artesa 2013 Single Vineyard Block 92 Estate Vineyard Chardonnay (Carneros),Virginie Boone,"Voluptuously honeyed with swirls of caramel, this single-vineyard estate wine is expansive on the palate. Toast, Good & Plenty candy and lemon meringue intertwine on the nose and palate atop a chalky texture and lingering acidity.",2013
Italy,Lambrusco di Sorbara,89,24,Paltrinieri 2013 L'Eclisse  (Lambrusco di Sorbara),Kerin O’Keefe,"Fruity, fresh and bone dry, this offers aromas of bright red berries and a hint of violets. The refreshing palate delivers intense strawberry and wild cherry accented with a hint of white pepper. Serve chilled and sip on the deck in summertime or pair with cold cuts.",2013
Spain,Graciano,90,140,Contino 2011  Rioja,Michael Schachner,"Bold oak on the nose places aromas of hickory and smoke atop sappy berry scents. A clampy tannic, high-energy palate is emboldened by penetrating acidity, while flavors of plum, berry, tomato and spice are lifted by that same acidity. This is still young, jagged and abrasive on the finish. Drink through 2028.",2011
US,Cabernet Sauvignon,91,125,Revival 2012 Cabernet Sauvignon (Napa Valley),Virginie Boone,"This is a satisfying, small-production wine from four rows of the family's Kairos Vineyard, a study in sanguine intensity. Currant, cassis and tar integrate with the body of subtle oak and tannin, finishing in a sprinkling of dried herb and graphite.",2012
Chile,Carmenère,85,11,Viña Bisquertt 2007 Casa La Joya Reserve Carmenère (Colchagua Valley),Michael Schachner,"Meaty, rubbery aromas open it up, and it evolves into a dark, chunky, aggressive type of wine. The palate is big and round, with medium tannins and dark, slightly burnt flavors of blackberry and licorice. The finish shows coffee and extract, but not much length or refinement. Husky and ripe more than sleek and elevated.",2007
Italy,Sangiovese Grosso,94,59,La Fortuna 2006 Riserva  (Brunello di Montalcino),NA,"This riserva is silky, firm and polished, with bright fruit nuances of wild berry, almond skin, cola and lingering menthol overtones. The mouthfeel is bright and crisp, with a very fine, smooth texture. Dusty mineral notes appear on the finish.",2006
US,Sauvignon Blanc,91,15,Jones of Washington 2010 Sauvignon Blanc (Columbia Valley (WA)),Paul Gregutt,"Honeysuckle scents and ripe, fresh fruit flavors run from grapefruit on into tropical. This was fermented in Hungarian puncheons, picking up just a hint of toast along the way. Clean and quite delicious.",2010
France,Bordeaux-style Red Blend,83,10,Château Mayne Vieil 2015 Château Buisson Redon  (Bordeaux),Roger Voss,"Light and unfocused, this simple wine has fruit but misses out on structure and much interest.",2015
US,Sauvignon Blanc,87,18,Heritance 2014 Sauvignon Blanc (Napa Valley),Virginie Boone,"Kiwi, peach and pineapple mark this blend of 93% Sauvignon Blanc and 7% Sémillon, providing a tropical character and personality. Medium in body and weight, it finishes moderately influenced by oak and a touch of vanilla cream.",2014
Portugal,Portuguese Red,88,NA,Santos & Seixo 2015 Santos da Casa Tinto Red (Alentejano),Roger Voss,"This ripe blend of four grapes was aged in wood for nine months. Filled by rich blackberry fruits, the generous texture is cut by acidity. Drink this smooth wine now.",2015
Argentina,Cabernet Sauvignon,85,20,Terrazas de Los Andes 2012 Reserva Cabernet Sauvignon (Mendoza),Michael Schachner,"Wiry, rugged aromas of cassis and blackberry are a bit green and pyrazinic. Chunky, tannic and sticky in feel, this tastes of baked black fruits. Stewy, syrupy and creamy on the finish, the wine gets better the longer it sits.",2012
US,Pinot Noir,87,85,Patz & Hall 2010 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),NA,"A strong, extracted Pinot, lacking delicacy and finesse. It's enormous in jammy raspberries, cherries and liqueur, with plenty of sweet, toasty oak. High alcohol gives it a full body and a taste of glyceriney sweetness. Many will like its power and flash. Drink it over the next few years.",2010
US,Cabernet Sauvignon,92,90,Cayuse 2013 The Widowmaker En Chamberlain Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),Sean P. Sullivan,"Expressive aromas of funk, ember, moist soil, truffle, olive and high-toned dried herbs are followed by a freshly elegant and flavor-focused palate. The balance and length are exquisite.",2013
Italy,Red Blend,88,30,Cantina Valpolicella Negrar 2012 La Tirela  (Amarone della Valpolicella Classico),Kerin O’Keefe,"Aromas of baked plum, cake spice and a whiff of dried herb lead the way. The palate is straightforward by Amarone standards, offering dried black cherry, nutmeg and a hint of licorice alongside close-grained tannins that leave a drying finish.",2012
US,Bordeaux-style Red Blend,91,42,Lorenzi Estate 2011 Bordello Red (Temecula Valley),Matt Kettmann,"Dense black currants, plum, beef jerky, dark chocolate and licorice show on the rich nose of this Cabernet Sauvignon, Cabernet Franc and Merlot blend. Flavors of dried blueberry, toasted sage leaves, thick vanilla and hints of clove swirl into a luxurious sip.",2011
France,Malbec-Merlot,87,19,Château les Hauts d'Aglan 2010 Malbec-Merlot (Cahors),Roger Voss,"The 17-acre vineyard is situated right at the western end of the Cahors appellation, giving a fresh feel to the ripe blackberry fruit flavors. There is an attractive, juicy feel to this wine. Soft, dusty tannins and bright acidity contribute to a wine that is now ready to drink.",2010
France,Sauvignon Blanc,85,13,Georges Vigouroux 2016 Pigmentum Sauvignon Blanc (Côtes de Gascogne),Roger Voss,"This is a warm and ripe style of Sauvignon Blanc. It has a crisp edge that is contrasted with the full white stone fruit and warm acidity. The fruitiness is intense, juicy and full of great final crispness.",2016
US,Chardonnay,83,10,Pepi 2011 Chardonnay (California),NA,"A simple, everyday Chardonnay that's refreshingly crisp, with sweet lime, orange, pear and vanilla flavors.",2011
Italy,Barbera,89,NA,Castello di Razzano 2007 Del Beneficio  (Barbera d'Asti Superiore),NA,"Thick, black and extracted, this dense Barbera d'Asti Superiore opens with intense aromas of black fruit and fresh oak. Definitely give this wine at least two more years in the bottle for those smoky wood notes to find balance. At this young stage, the wine tastes new, chewy and raw.",2007
Portugal,Alicante Bouschet,88,9,Casa Ermelinda Freitas 2013 Reserva Alicante Bouschet (Península de Setúbal),Roger Voss,"Ripe and juicy, this is a rich wine with layers of tannins and generous black fruits. It is well balanced and concentrated with the acidity bringing out both the warmth of the grape and its natural fruitiness. Drink now.",2013
US,Chardonnay,81,11,Harlow Ridge 2011 Chardonnay (Lodi),Virginie Boone,"This bargain-priced wine is oaky and bland, with a smell of menthol.",2011
France,Chenin Blanc,88,25,Château la Varière 2009 Clos de la Division Chenin Blanc (Anjou),Roger Voss,"This may be dry Chenin Blanc, but there is this tantalizing touch of honey that goes with the crisp apple and fresh quince fruits. The wine has delicious, refreshingly crisp acidity that counterbalances its natural richness.",2009
Austria,Riesling,89,15,Winzer Krems 2016 Von Den Terrassen Riesling (Niederösterreich),Anne Krebiehl MW,"Tart red apple and lemon make for an inviting, appetizing nose. The same flavors play on the easy, juicy palate, where they get more lift from a slight spritz. Light bodied, dry and juicy, it's made for easy and refreshing drinking.",2016
Austria,Blaufränkisch,94,46,Umathum 2011 Kirschgarten Blaufränkisch (Burgenland),Anne Krebiehl MW,"Flinty elderberry and crushed blackberry are the dark-fruited aromatics that pervade the nose and palate of this wine. There is a smoky smudge to the velvet tannins, making this intriguing and elegant. The tannic structure frames this medium-bodied charmer, and its superb balance and aromatic layers make you come back for more. Ready from 2016.",2011
US,Pinot Noir,86,45,Peters Family 2010 Pinot Noir (Sonoma Mountain),NA,"Dry and tannic, this Pinot is heavy. It has strong flavors of blackstrap molasses, tea, black cherry jam and oak, and is ready to drink now.",2010
Italy,Vermentino,87,NA,Serni Fulvio Luigi 2011 Radius Vermentino (Bolgheri),NA,"This light Vermentino opens with a pale straw color, and it has lively aromas of citrus, kiwi, cut grass and mineral. A dose of refreshing acidity marks the finish.",2011
France,Bordeaux-style Red Blend,96,75,Château Smith Haut Lafitte 2014  Pessac-Léognan,Roger Voss,"This is a powerful wine, made to age for a long time, from this estate which is performing in top gear. Complex tannins and dark fruits both make their presence felt. It has weight, ripeness and a dense structure. A great success, it is unlikely to be ready to drink before 2027.",2014
Spain,Pedro Ximénez,93,258,"Bodegas Toro Albala, SL 1947 Don PX Reserva Especial Pedro Ximénez (Montilla-Moriles)",Michael Schachner,"This gorgeous dessert wine shows a coffee-colored tint that's backed by lush, deep aromas of fig, caramel, toffee and prune. The palate shows weight but a refined mouthfeel that's not sticky or heavy. Flavors of coffee, mocha, chocolate, caramel, peanut brittle and prune finish warm and long. Only 43 cases made.",1947
US,Sauvignon Blanc,84,22,Hauck 2007 Sauvignon Blanc (Russian River Valley),NA,"A bit on the sugary side, making it not truly dry, but adequate acidity provides balance to the very rich pineapple, pear, fig and honeysuckle flavors. Great with Vietnamese or Chinese fare.",2007
US,Cabernet Sauvignon,92,60,Parry Cellars 2004 Cabernet Sauvignon (St. Helena),NA,"Shows a fine, polished Napa style in the perfectly ripe blackberry and currant flavors, and in the way the sweet and ultrarefined tannins give the wine such classic structure. New oak adds just the right touch of smoke and vanilla to this ageworthy 100% Cab. Best after 2010.",2004
Greece,Red Blend,86,30,Tsantali 2009 Metoxi X Single Vineyard Xinomavro-Limnio-Cabernet Sauvignon Red (Mount Athos),Susan Kostrzewa,"Allspice, violet and plucky red berry aromas lead this Xinomavro-Limnio-Cabernet blend. Flavors of plum, leather, cinnamon and pepper are balanced and subtle. A good everyday bottle that will pair well with burgers, steak and mushroom dishes.",2009
US,Chardonnay,84,14,Jamieson Ranch 2012 Light Horse Chardonnay (California),NA,"Made in the popular style, this Chardonnay shows simple oak, pineapple, mango and peach flavors. It finishes with notes of vanilla and honey.",2012
Italy,Red Blend,90,199,Musella 2008 Senza Titolo  (Amarone della Valpolicella),Kerin O’Keefe,"You'll find aromas of resin, blue flower, spiced plum, leather and menthol on this boldly structured red. Densely concentrated and chewy, the palate delivers blackberry jam, black cherry extract, mocha, tobacco and a confectionery note alongside velvety tannins.",2008
Chile,Sauvignon Blanc,84,10,Terrapura 2009 Sauvignon Blanc (Central Valley),Michael Schachner,"Basically a clean, light, simple white with a flat/soft body and pithy, dry flavors of citrus and melon rind. Shows some bitterness on the finish along with a flash of white heat. Decent at best. Drink right away.",2009
US,Cabernet Sauvignon,84,40,Terra Valentine 2007 Cabernet Sauvignon (Spring Mountain District),NA,"There's a vegetable aroma in this wine, not exactly herbs, more like asparagus. In the mouth, the Cab tastes soft, sweet and candied. Average at best, and not an ager.",2007
France,Bordeaux-style Red Blend,84,13,Château les Berthets 2014  Blaye Côtes de Bordeaux,Roger Voss,"This is a lean wine, all tannins and missing fruit. It is dry and showing considerable hard extraction. It will soften, but not much.",2014
France,Bordeaux-style Red Blend,88,NA,Château La Grave à Pomerol 2012  Pomerol,Roger Voss,"Smooth, ripe and easy, this wine brings out the fruitiness of the vintage. It has some dusty tannins, although it is so approachable and generous. Ripe berry fruits and soft acidity come through at the end. Drink from 2017.",2012
